suj,rt,acc,congr,soa,tloc,cloc
1,NaN,1,NaN,NaN,NaN,NaN
1,754.37,1,NaN,NaN,2,NaN
1,383.14,1,1,-600,1,1
1,NaN,1,NaN,NaN,NaN,1
1,593.93,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,2
1,447.5,1,0,150,2,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,389.22,1,0,-600,1,2
1,479.21,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,NaN
1,668.37,1,NaN,NaN,2,NaN
1,486.31,1,0,-600,2,1
1,438.55,1,1,150,1,1
1,461.31,1,0,-150,2,1
1,393.72,1,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,2
1,378.66,1,1,-600,2,2
1,NaN,1,NaN,NaN,NaN,1
1,404.15,1,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,1
1,479.61,1,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,NaN
1,574.61,1,1,-600,1,1
1,NaN,0,NaN,NaN,1,NaN
1,421.43,1,0,-600,1,2
1,553.56,1,1,450,1,1
1,1503.7,1,NaN,NaN,1,NaN
1,450.07,1,0,450,2,1
1,633.52,1,1,450,2,2
1,1092.4,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,388,1,1,-150,2,2
1,459.43,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,456.77,1,0,150,1,2
1,504.14,1,0,150,2,1
1,446.97,1,1,-600,2,2
1,NaN,0,1,150,2,2
1,450.09,1,0,450,1,2
1,NaN,0,0,450,2,1
1,NaN,1,NaN,NaN,NaN,2
1,372.57,1,0,-150,1,2
1,851.4,1,0,450,1,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,1,450,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,0,-150,2,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,-150,2,2
1,526.77,1,NaN,NaN,2,NaN
1,478.11,1,NaN,NaN,1,NaN
1,650.96,1,0,-600,2,1
1,NaN,0,1,150,2,2
1,NaN,1,NaN,NaN,NaN,2
1,383.25,1,0,-150,1,2
1,NaN,0,1,450,2,2
1,463.31,1,0,450,2,1
1,NaN,1,NaN,NaN,NaN,1
1,309.4,1,1,-600,1,1
1,NaN,1,NaN,NaN,NaN,1
1,454.23,1,1,150,2,2
1,498.46,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,NaN
1,452.63,1,1,-600,2,2
1,464.57,1,NaN,NaN,2,NaN
1,NaN,0,NaN,NaN,2,NaN
1,422.1,1,0,-600,1,2
1,533.65,1,NaN,NaN,1,NaN
1,458.85,1,NaN,NaN,1,NaN
1,445.7,1,NaN,NaN,1,NaN
1,NaN,0,0,-150,1,2
1,441.23,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,450.04,1,0,450,1,2
1,NaN,1,NaN,NaN,NaN,2
1,444.28,1,1,-600,1,1
1,NaN,0,1,150,1,1
1,419.14,1,1,-150,1,1
1,398.42,1,0,-600,1,2
1,786.77,1,0,450,1,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,NaN
1,720.77,1,1,450,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,NaN,NaN,1,NaN
1,NaN,0,1,450,2,2
1,378.59,1,0,-600,2,1
1,NaN,0,0,150,2,1
1,NaN,0,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,2
1,540.39,1,0,-150,2,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,0,150,2,1
1,NaN,0,1,-150,1,1
