suj;val;cg;soa
1;2.34251281607984;1;-600
1;2.5408731710251;1;-150
1;2.4017333233945;1;150
1;2.18775999416305;1;450
2;1.81032798818776;1;-600
2;4.05386772193713;1;-150
2;2.76902273386717;1;150
2;2.54008997204095;1;450
3;1.48688078379969;1;-600
3;1.67480507429589;1;-150
3;1.34202789606691;1;150
3;0.976729794924774;1;450
4;1.92788120075244;1;-600
4;1.98677964994223;1;-150
4;1.49439390064376;1;150
4;1.60446973938044;1;450
5;2.89634797195973;1;-600
5;3.92824803723232;1;-150
5;2.61437791314893;1;150
5;2.31330912467248;1;450
6;2.31783529109415;1;-600
6;3.15780718212611;1;-150
6;2.70096857574738;1;150
6;2.58738014703907;1;450
7;0.977851428106626;1;-600
7;1.12916286461666;1;-150
7;1.43692381748488;1;150
7;1.01349967025916;1;450
8;1.91417262223976;1;-600
8;2.62103005522681;1;-150
8;2.63060552796954;1;150
8;2.34024225541122;1;450
9;2.13688497230647;1;-600
9;2.56007245404196;1;-150
9;2.25782387521506;1;150
9;2.38539864861841;1;450
10;2.7924480428151;1;-600
10;3.39269565710181;1;-150
10;2.60246986083615;1;150
10;2.9492499206888;1;450
11;1.98988751813579;1;-600
11;2.42012936988432;1;-150
11;1.73897494206071;1;150
11;1.67053321829839;1;450
12;3.1097209034478;1;-600
12;3.21771248730921;1;-150
12;2.87990368799257;1;150
12;3.02467040149703;1;450
13;0.947794023952405;1;-600
13;1.81721779724129;1;-150
13;1.28736821729764;1;150
13;1.09481320174143;1;450
14;3.37807477850196;1;-600
14;3.53470737042936;1;-150
14;3.28692167255174;1;150
14;3.33266794561407;1;450
15;1.92352853816135;1;-600
15;2.36923946628104;1;-150
15;2.16187567895882;1;150
15;1.98139126957518;1;450
16;3.08151769694446;1;-600
16;2.93415104919382;1;-150
16;2.24950699979779;1;150
16;1.98255323714745;1;450
17;2.7080225278064;1;-600
17;3.22014850522033;1;-150
17;2.8812708167435;1;150
17;2.8812708167435;1;450
18;2.7722286131227;1;-600
18;3.30770945489483;1;-150
18;3.21262902303292;1;150
18;2.71152194787988;1;450
19;2.40724248323317;1;-600
19;4.00333078262963;1;-150
19;4.13357019324533;1;150
19;3.45613813239556;1;450
20;2.16876900741481;1;-600
20;2.16876900741481;1;-150
20;1.73873086612843;1;150
20;2.01045159114782;1;450
1;2.55068934954777;0;-600
1;2.32788297573258;0;-150
1;2.26813562234152;0;150
1;2.19969389857921;0;450
2;1.81900456211815;0;-600
2;3.24413733680637;0;-150
2;2.68342534105785;0;150
2;2.62443616638044;0;450
3;1.52877808389706;0;-600
3;1.79051494927955;0;-150
3;0.999096103362389;0;150
3;1.13237488486606;0;450
4;2.0776223750981;0;-600
4;2.08743855362077;0;-150
4;1.57224134924221;0;150
4;1.7029069811798;0;450
5;3.14316876702586;0;-600
5;3.58033693372803;0;-150
5;2.29959814002107;0;150
5;2.2156605114226;0;450
6;2.55594951065874;0;-600
6;2.88896802853002;0;-150
6;2.36758138586046;0;150
6;2.55594951065874;0;450
7;0.786637432995765;0;-600
7;1.18345896776253;0;-150
7;1.38103908411116;0;150
7;0.860423739817601;0;450
8;1.80385365382241;0;-600
8;2.49561222094896;0;-150
8;2.50591804502855;0;150
8;2.32909890966915;0;450
9;2.09582356229301;0;-600
9;2.44029501780256;0;-150
9;2.16967829237501;0;150
9;2.19795875836332;0;450
10;2.88951025042547;0;-600
10;3.24164075125216;0;-150
10;2.9492499206888;0;150
10;2.93585705072307;0;450
11;1.70406423675161;0;-600
11;2.64152449722607;0;-150
11;1.9003538564868;0;150
11;1.6038521158552;0;450
12;3.03288580330976;0;-600
12;3.73404225855181;0;-150
12;2.7828414803822;0;150
12;2.70181301225958;0;450
13;1.02158529776068;0;-600
13;1.67429376280586;0;-150
13;1.35542542961828;0;150
13;1.17467946848828;0;450
14;3.36619896406729;0;-600
14;3.62183722940258;0;-150
14;3.50805051108158;0;150
14;3.33266794561407;0;450
15;1.98463103386915;0;-600
15;2.29809112699183;0;-150
15;1.94986733704365;0;150
15;1.96701233081039;0;450
16;2.88286851808758;0;-600
16;2.49188818730813;0;-150
16;1.72567171246538;0;150
16;2.29592220664074;0;450
17;2.9903848171352;0;-600
17;3.13639959954959;0;-150
17;2.8922966959737;0;150
17;2.64938560602267;0;450
18;2.5580461532004;0;-600
18;3.1846525447367;0;-150
18;2.95058577293315;0;150
18;3.10836621718451;0;450
19;2.45657477296652;0;-600
19;4.25158858135674;0;-150
19;3.84502831162911;0;150
19;3.47295152674019;0;450
20;1.7928126078046;0;-600
20;2.29872812236091;0;-150
20;1.99854548129644;0;150
20;1.94239437882718;0;450
